directory,latitude,longitude,gpstime,gpsdate,endtime
027,31.2491666666667,121.449816666667,15:16:53,2007-07-25,15:16:53
027,31.2564166666667,121.436316666667,13:51:20,2007-07-26,13:51:20
030,31.5385182,120.2630999,10:11:34,2008-06-29,10:11:34
030,31.6019649,120.2757399,18:17:24,2008-07-01,18:17:24
030,31.5922566,120.3072116,22:09:35,2008-07-01,22:09:35
030,31.4970183,119.6643299,18:15:42,2008-07-03,18:15:42
030,31.5919816,120.3075749,20:38:50,2008-07-03,20:38:50
030,31.5923066,120.3076983,21:38:11,2008-07-09,21:38:11
030,31.58852,120.3059499,21:50:35,2008-07-10,21:50:35
030,31.5838349,120.299445,17:17:15,2008-07-14,17:17:15
030,31.5930316,120.3153599,21:50:07,2008-07-14,21:50:07
030,31.5814982,120.2917816,12:17:42,2008-07-19,12:17:42
030,31.5939049,120.3098166,20:40:16,2008-07-19,20:40:16
030,31.5924966,120.3071766,15:39:46,2008-07-20,15:39:46
030,31.5876699,120.3083699,20:09:20,2008-07-21,20:09:20
