directory,latitude,longitude,gpstime,gpsdate,starttime
027,31.2602,121.4448,13:36:43,2007-07-26,13:36:43
030,31.5919749,120.3074533,10:01:42,2008-06-29,10:01:42
030,31.5816083,120.3070133,18:09:55,2008-07-01,18:09:55
030,31.5783549,120.2991933,22:02:04,2008-07-01,22:02:04
030,31.5913883,120.3087066,17:56:01,2008-07-03,17:56:01
030,31.5748033,120.2994016,20:27:22,2008-07-03,20:27:22
030,31.5834383,120.3006883,21:31:36,2008-07-09,21:31:36
030,31.5759866,120.2989849,21:39:37,2008-07-10,21:39:37
030,31.5924582,120.3053499,17:08:06,2008-07-14,17:08:06
030,31.5869766,120.3164983,21:48:28,2008-07-14,21:48:28
030,31.5819799,120.3080749,12:09:38,2008-07-19,12:09:38
030,31.5784366,120.2989233,20:22:39,2008-07-19,20:22:39
030,31.584765,120.3227683,13:01:33,2008-07-20,13:01:33
030,31.580015,120.3036483,20:04:56,2008-07-21,20:04:56
